Area,Price,Avg ratings
 Akhbar Nagar Circle,200.0,2.9
 Begumpet,480.0,2.9
26,450.0,4.2
3Rd Block Jayanagar,100.0,4.0
A Unit Of M/S Cohort  Ruby Area,300.0,4.2
A.S. Rao Nagar & Sainikpuri,200.0,3.55
Abids,303.4782608695652,3.965217391304348
Abids & Koti,212.5,3.775
Acher,200.0,3.7
Adajan,296.2162162162162,3.5716216216216217
Adajan Gam,425.0,3.7
Adajan Patiya,310.0,4.08
Adarsh Nagar,462.5,4.15
Adikmet,307.14285714285717,3.7285714285714286
Adugodi,481.25,3.7249999999999996
Afzal Gunj,300.0,3.8
Agarkar Nagar,475.0,3.8666666666666667
Ahiritola,150.0,2.9
Ahmedabad,344.44444444444446,4.066666666666666
Aliabad,150.0,3.6
Alipore,292.65384615384613,3.146153846153846
Althan,200.0,3.15
Alwarpet,504.44444444444446,4.0
Amarpalli,100.0,4.4
Ambavadi,200.0,4.4
Ambawadi,302.0,3.7239999999999998
Ambegaon,100.0,4.0
Amberpet,283.3333333333333,3.875
Ameerpet,210.03030303030303,3.621212121212121
Aminjikarai,265.45454545454544,3.972727272727273
Amroli,262.5,4.1
Anand Nagar,333.3333333333333,3.7933333333333334
Andheri East,374.6148148148148,3.737037037037037
Andheri West Area,200.0,2.9
Anna Nagar,410.26027397260276,4.146575342465753
Anna Nagar West,299.0,4.4
Anna Nagar West Extension,325.0,4.225
Anna Salai,400.0,4.3
Annamalai Colony,340.0,4.14
Annanagar,376.375,3.2575000000000003
Annanagar East,305.2631578947368,3.8526315789473684
Antop Hill,322.0,3.6700000000000004
Appa Balwant Chowk Pune,500.0,3.9
Armane Nagar,750.0,4.2
Arumbakkam,241.11111111111111,3.3499999999999996
Asalpha,450.0,3.6
Ashok Bhai- Citylight,200.0,4.3
Ashok Nagar,550.6779661016949,3.9101694915254237
Ashok Vihar,309.8,2.9
Asif Nagar,225.0,3.7
Athwa,246.05050505050505,3.4373737373737376
Athwa Gate,275.0,4.199999999999999
Athwa Station Road,200.0,4.4
Aundh,453.46938775510205,3.589795918367347
Ayanavaram,184.92307692307693,3.8307692307692305
Azad Nagar,180.0,3.9
B.B.D. Bagh,500.0,4.366666666666667
Baguiati,217.5,3.3249999999999997
Baguihati,260.0,3.63
Balaji Nagar,500.0,4.3
Balavinayagar Nagar,280.0,3.8600000000000003
Balkampet,300.0,4.2
Bally,466.6666666666667,2.9
Ballygunge,493.75,4.0671875
Banashankari,340.90909090909093,3.4909090909090907
Bandra Area,841.9354838709677,4.116129032258065
Bandra East,365.6,3.84
Bandra Kurla Complex,600.0,4.6
Bandra West,620.0,3.1
Baner,465.2,3.6239999999999997
Bangur,98.0,2.9
Banjara Hills,420.95575221238937,3.692920353982301
Banjarahills,150.0,2.9
Bapunagar,500.0,2.9
